@relation feature_costs_proteus_2014

@attribute instance_id string
@attribute repetition numeric
@attribute csp {ok,timeout,memout,presolved,crash,other,unknown}
@attribute direct {ok,timeout,memout,presolved,crash,other,unknown}
@attribute directorder {ok,timeout,memout,presolved,crash,other,unknown}
@attribute support {ok,timeout,memout,presolved,crash,other,unknown}

@data
bool/routing/s3-3-3-4.xml,1,presolved,ok,ok,ok
bool/routing/s3-3-3-3.xml,1,presolved,ok,ok,ok
bool/routing/s3-3-3-1.xml,1,presolved,ok,ok,ok
bool/routing/s4-4-3-10.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-7.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-6.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-3.xml,1,ok,ok,ok,ok
bool/routing/s3-3-3-2.xml,1,presolved,ok,ok,ok
bool/routing/s4-4-3-2.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-8.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-9.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-4.xml,1,ok,ok,ok,ok
bool/routing/s3-3-3-5.xml,1,presolved,ok,ok,ok
bool/routing/s4-4-3-5.xml,1,ok,ok,ok,ok
bool/routing/s4-4-3-1.xml,1,ok,ok,ok,ok
bool/ii/ii-16e2.xml,1,ok,ok,ok,ok
bool/ii/ii-8b1.xml,1,presolved,ok,ok,ok
bool/ii/ii-32c1.xml,1,presolved,ok,ok,ok
bool/ii/ii-8d1.xml,1,presolved,ok,ok,ok
bool/ii/ii-16a1.xml,1,ok,ok,ok,ok
bool/ii/ii-32c3.xml,1,ok,ok,ok,ok
bool/ii/ii-8c2.xml,1,presolved,ok,ok,ok
bool/ii/ii-32b4.xml,1,ok,ok,ok,ok
bool/ii/ii-16e1.xml,1,ok,ok,ok,ok
bool/ii/ii-32b2.xml,1,ok,ok,ok,ok
bool/ii/ii-32e5.xml,1,ok,ok,ok,ok
bool/ii/ii-32c2.xml,1,ok,ok,ok,ok
bool/ii/ii-8b3.xml,1,presolved,ok,ok,ok
bool/ii/ii-8a2.xml,1,presolved,ok,ok,ok
bool/ii/ii-8c1.xml,1,presolved,ok,ok,ok
bool/ii/ii-16d1.xml,1,ok,ok,ok,ok
bool/ii/ii-16c1.xml,1,ok,ok,ok,ok
bool/ii/ii-8b4.xml,1,presolved,ok,ok,ok
bool/ii/ii-8a1.xml,1,presolved,ok,ok,ok
bool/ii/ii-32e1.xml,1,presolved,ok,ok,ok
bool/ii/ii-32e3.xml,1,ok,ok,ok,ok
bool/ii/ii-16b2.xml,1,ok,ok,ok,ok
bool/ii/ii-32d2.xml,1,ok,ok,ok,ok
bool/ii/ii-32e2.xml,1,ok,ok,ok,ok
bool/ii/ii-8e2.xml,1,presolved,ok,ok,ok
bool/ii/ii-16b1.xml,1,ok,ok,ok,ok
bool/ii/ii-32e4.xml,1,ok,ok,ok,ok
bool/ii/ii-16a2.xml,1,presolved,ok,ok,ok
bool/ii/ii-32b3.xml,1,ok,ok,ok,ok
bool/ii/ii-8a3.xml,1,presolved,ok,ok,ok
bool/ii/ii-8e1.xml,1,presolved,ok,ok,ok
bool/ii/ii-8a4.xml,1,presolved,ok,ok,ok
bool/ii/ii-16d2.xml,1,ok,ok,ok,ok
bool/ii/ii-32b1.xml,1,presolved,ok,ok,ok
bool/ii/ii-8d2.xml,1,presolved,ok,ok,ok
bool/ii/ii-32d3.xml,1,ok,ok,ok,ok
bool/ii/ii-16c2.xml,1,ok,ok,ok,ok
bool/ii/ii-32d1.xml,1,presolved,ok,ok,ok
bool/ii/ii-8b2.xml,1,presolved,ok,ok,ok
bool/ii/ii-32a1.xml,1,ok,ok,ok,ok
bool/ii/ii-32c4.xml,1,ok,ok,timeout,ok
bool/mps/mps-neos16.xml,1,ok,ok,ok,ok
bool/mps/mps-p0282.xml,1,presolved,memout,ok,memout
bool/mps/mps-gt2.xml,1,presolved,memout,memout,memout
bool/mps/mps-air06.xml,1,ok,memout,timeout,memout
bool/mps/mps-p6000.xml,1,presolved,crash,crash,crash
bool/mps/mps-air03.xml,1,memout,crash,crash,crash
bool/mps/mps-neos18.xml,1,presolved,ok,ok,ok
bool/mps/mps-aflow30a.xml,1,ok,memout,memout,memout
bool/mps/mps-diamond.xml,1,presolved,ok,ok,ok
bool/mps/mps-10teams.xml,1,ok,ok,ok,ok
bool/mps/mps-p0548.xml,1,presolved,memout,memout,memout
bool/mps/mps-p0291.xml,1,presolved,memout,timeout,memout
bool/mps/mps-stein15.xml,1,presolved,ok,ok,ok
bool/mps/mps-opt1217.xml,1,presolved,memout,memout,memout
bool/mps/mps-p2756.xml,1,presolved,memout,memout,memout
bool/mps/mps-air04.xml,1,ok,memout,timeout,memout
bool/mps/mps-mzzv11.xml,1,presolved,memout,memout,memout
bool/mps/mps-mod008.xml,1,presolved,memout,memout,memout
bool/mps/mps-p0201.xml,1,presolved,ok,ok,ok
bool/mps/mps-neos5.xml,1,presolved,memout,memout,memout
bool/mps/mps-vpm2.xml,1,ok,memout,memout,memout
bool/mps/mps-vpm1.xml,1,ok,memout,memout,memout
bool/mps/mps-seymour1.xml,1,presolved,memout,memout,memout
bool/mps/mps-cracpb1.xml,1,presolved,memout,memout,memout
bool/mps/mps-lp4l.xml,1,ok,ok,ok,ok
bool/mps/mps-stein45.xml,1,presolved,ok,ok,ok
