@relation feature_values_OpenML_MetaLearning_2016

@attribute instance_id string
@attribute repetition numeric
@attribute openml {ok, timeout, memout, not_applicable, crash, other}

@data
1,1,ok
2,1,ok
3,1,ok
4,1,ok
5,1,ok
7,1,ok
9,1,ok
10,1,ok
11,1,ok
12,1,ok
13,1,ok
14,1,ok
16,1,ok
18,1,ok
20,1,ok
21,1,ok
22,1,ok
23,1,ok
24,1,ok
25,1,ok
27,1,ok
28,1,ok
29,1,ok
30,1,ok
33,1,ok
34,1,ok
35,1,ok
36,1,ok
37,1,ok
38,1,ok
39,1,ok
40,1,ok
41,1,ok
42,1,ok
43,1,ok
44,1,ok
48,1,ok
49,1,ok
50,1,ok
51,1,ok
53,1,ok
54,1,ok
55,1,ok
56,1,ok
57,1,ok
59,1,ok
60,1,ok
61,1,ok
62,1,ok
163,1,ok
164,1,ok
171,1,ok
172,1,ok
173,1,ok
174,1,ok
181,1,ok
182,1,ok
183,1,ok
185,1,ok
186,1,ok
187,1,ok
188,1,ok
275,1,ok
276,1,ok
277,1,ok
278,1,ok
285,1,ok
292,1,ok
307,1,ok
311,1,ok
312,1,ok
314,1,ok
316,1,ok
329,1,ok
333,1,ok
334,1,ok
335,1,ok
336,1,ok
337,1,ok
338,1,ok
339,1,ok
340,1,ok
342,1,ok
343,1,ok
345,1,ok
346,1,ok
375,1,ok
377,1,ok
444,1,ok
446,1,ok
448,1,ok
450,1,ok
451,1,ok
452,1,ok
453,1,ok
454,1,ok
459,1,ok
461,1,ok
462,1,ok
464,1,ok
465,1,ok
466,1,ok
467,1,ok
468,1,ok
469,1,ok
470,1,ok
472,1,ok
475,1,ok
476,1,ok
477,1,ok
480,1,ok
481,1,ok
488,1,ok
679,1,ok
682,1,ok
683,1,ok
685,1,ok
694,1,ok
714,1,ok
716,1,ok
717,1,ok
719,1,ok
720,1,ok
721,1,ok
724,1,ok
725,1,ok
726,1,ok
728,1,ok
729,1,ok
730,1,ok
731,1,ok
732,1,ok
733,1,ok
735,1,ok
736,1,ok
737,1,ok
738,1,ok
741,1,ok
742,1,ok
744,1,ok
745,1,ok
746,1,ok
747,1,ok
748,1,ok
749,1,ok
750,1,ok
752,1,ok
753,1,ok
754,1,ok
755,1,ok
756,1,ok
757,1,ok
758,1,ok
759,1,ok
761,1,ok
762,1,ok
763,1,ok
764,1,ok
765,1,ok
766,1,ok
767,1,ok
768,1,ok
769,1,ok
770,1,ok
772,1,ok
773,1,ok
774,1,ok
775,1,ok
776,1,ok
777,1,ok
778,1,ok
779,1,ok
780,1,ok
782,1,ok
783,1,ok
784,1,ok
785,1,ok
786,1,ok
787,1,ok
788,1,ok
789,1,ok
790,1,ok
791,1,ok
792,1,ok
793,1,ok
794,1,ok
795,1,ok
796,1,ok
798,1,ok
800,1,ok
801,1,ok
803,1,ok
804,1,ok
805,1,ok
807,1,ok
808,1,ok
809,1,ok
810,1,ok
811,1,ok
812,1,ok
814,1,ok
815,1,ok
816,1,ok
817,1,ok
818,1,ok
819,1,ok
820,1,ok
824,1,ok
825,1,ok
826,1,ok
827,1,ok
828,1,ok
829,1,ok
830,1,ok
831,1,ok
832,1,ok
833,1,ok
834,1,ok
835,1,ok
836,1,ok
838,1,ok
839,1,ok
840,1,ok
841,1,ok
842,1,ok
844,1,ok
847,1,ok
848,1,ok
850,1,ok
851,1,ok
852,1,ok
853,1,ok
854,1,ok
855,1,ok
857,1,ok
858,1,ok
859,1,ok
860,1,ok
861,1,ok
862,1,ok
863,1,ok
864,1,ok
865,1,ok
867,1,ok
868,1,ok
869,1,ok
870,1,ok
871,1,ok
872,1,ok
873,1,ok
874,1,ok
875,1,ok
876,1,ok
877,1,ok
878,1,ok
879,1,ok
880,1,ok
882,1,ok
884,1,ok
885,1,ok
886,1,ok
887,1,ok
888,1,ok
889,1,ok
890,1,ok
891,1,ok
892,1,ok
893,1,ok
894,1,ok
895,1,ok
896,1,ok
897,1,ok
899,1,ok
900,1,ok
902,1,ok
905,1,ok
906,1,ok
907,1,ok
908,1,ok
909,1,ok
911,1,ok
915,1,ok
916,1,ok
918,1,ok
920,1,ok
921,1,ok
922,1,ok
923,1,ok
925,1,ok
926,1,ok
931,1,ok
932,1,ok
933,1,ok
934,1,ok
935,1,ok
936,1,ok
937,1,ok
938,1,ok
940,1,ok
941,1,ok
942,1,ok
943,1,ok
944,1,ok
945,1,ok
946,1,ok
947,1,ok
948,1,ok
949,1,ok
950,1,ok
951,1,ok
952,1,ok
954,1,ok
955,1,ok
956,1,ok
957,1,ok
958,1,ok
960,1,ok
961,1,ok
962,1,ok
963,1,ok
964,1,ok
965,1,ok
966,1,ok
968,1,ok
969,1,ok
970,1,ok
971,1,ok
972,1,ok
973,1,ok
974,1,ok
975,1,ok
976,1,ok
978,1,ok
979,1,ok
980,1,ok
982,1,ok
983,1,ok
985,1,ok
986,1,ok
987,1,ok
988,1,ok
989,1,ok
990,1,ok
991,1,ok
992,1,ok
993,1,ok
994,1,ok
995,1,ok
996,1,ok
997,1,ok
998,1,ok
999,1,ok
1000,1,ok
1001,1,ok
1002,1,ok
1003,1,ok
1004,1,ok
1005,1,ok
1006,1,ok
1007,1,ok
1008,1,ok
1009,1,ok
1010,1,ok
1011,1,ok
1012,1,ok
1013,1,ok
1014,1,ok
1015,1,ok
1016,1,ok
1017,1,ok
1018,1,ok
1020,1,ok
1021,1,ok
1022,1,ok
1023,1,ok
1025,1,ok
1026,1,ok
1037,1,ok
1038,1,ok
1041,1,ok
1042,1,ok
1043,1,ok
1045,1,ok
1049,1,ok
1050,1,ok
1054,1,ok
1055,1,ok
1056,1,ok
1059,1,ok
1060,1,ok
1061,1,ok
1062,1,ok
1063,1,ok
1064,1,ok
1065,1,ok
1066,1,ok
1067,1,ok
1068,1,ok
1069,1,ok
1071,1,ok
1073,1,ok
1074,1,ok
1075,1,ok
