@RELATION FEATURES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE vars.clauses.ratio NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.CLAUSE.entropy NUMERIC
@ATTRIBUTE VCG.CLAUSE.mean NUMERIC
@ATTRIBUTE VCG.CLAUSE.coeff.variation NUMERIC
@ATTRIBUTE VCG.CLAUSE.min NUMERIC
@ATTRIBUTE VCG.CLAUSE.max NUMERIC
@ATTRIBUTE VCG.CLAUSE.entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY. NUMERIC
@ATTRIBUTE TRINARY. NUMERIC
@ATTRIBUTE VCG.VAR.mean NUMERIC
@ATTRIBUTE VCG.VAR.coeff.variation NUMERIC
@ATTRIBUTE VCG.VAR.min NUMERIC
@ATTRIBUTE VCG.VAR.max NUMERIC
@ATTRIBUTE VCG.VAR.entropy NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.mean NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.stdev NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.min NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.max NUMERIC
@ATTRIBUTE POSNEG.RATIO.VAR.entropy NUMERIC
@ATTRIBUTE HORNY.VAR.mean NUMERIC
@ATTRIBUTE HORNY.VAR.coeff.variation NUMERIC
@ATTRIBUTE HORNY.VAR.min NUMERIC
@ATTRIBUTE HORNY.VAR.max NUMERIC
@ATTRIBUTE HORNY.VAR.entropy NUMERIC
@ATTRIBUTE horn.clauses.fraction NUMERIC
@ATTRIBUTE VG.mean NUMERIC
@ATTRIBUTE VG.coeff.variation NUMERIC
@ATTRIBUTE VG.min NUMERIC
@ATTRIBUTE VG.max NUMERIC
@ATTRIBUTE CG.mean NUMERIC
@ATTRIBUTE CG.coeff.variation NUMERIC
@ATTRIBUTE CG.min NUMERIC
@ATTRIBUTE CG.max NUMERIC
@ATTRIBUTE CG.entropy NUMERIC
@ATTRIBUTE cluster.coeff.mean NUMERIC
@ATTRIBUTE cluster.coeff.coeff.variation NUMERIC
@ATTRIBUTE cluster.coeff.min NUMERIC
@ATTRIBUTE cluster.coeff.max NUMERIC
@ATTRIBUTE cluster.coeff.entropy NUMERIC

@DATA
sat/10-3-13.cnf.bz2,1,29772,922204,25844,902609,0.151988856,0.021709289,0.028632553,0.3591254,0.477360674,0,1,0.38316621,0.00011339,0.267347292,7.7387e-05,0.001006036,0.328468871,0,0.095114274,0.998514307,0.00011339,1.696284972,1.108e-06,0.001651878,2.476046355,0.13996099,0.172669043,0,1,1.769651174,0.000110294,1.736683245,0,0.001641907,2.238015638,0.98181937,0.000136684,2.316128099,6.647e-06,0.002459537,-1,0,-1,0,-512,-1,0,-1,0,0
sat/10-4-10.cnf.bz2,1,80316,2670467,68908,2627367,0.165554072,0.016404256,0.026227017,0.349916445,0.441865218,0,1,0.346316541,4.2583e-05,0.259162922,2.9024e-05,0.000507924,0.294091202,0,0.083219817,0.999279507,4.2583e-05,2.469653538,3.81e-07,0.001247256,2.374566438,0.104325187,0.158067397,0,1,1.607597894,4.1523e-05,2.529826353,0,0.001246495,2.152316417,0.981466997,5.3155e-05,3.420234261,9.135e-06,0.001982213,-1,0,-1,0,-512,-1,0,-1,0,0
sat/1mod8.rules.7-7.cnf.bz2,1,146804,957859,129317,935370,0.13522584,0.024042892,0.138252242,0.289773012,0.865942125,0,1,0.916420741,2.0598e-05,0.200785818,1.5466e-05,6.9596e-05,0.735445087,0,0.358661278,0.985377979,2.0598e-05,3.49444602,6.415e-06,0.001278638,2.231275116,0.145301557,0.124902158,0,0.8,2.357331918,1.2998e-05,3.451133669,3.207e-06,0.000778302,1.963549817,0.679825096,2.1976e-05,3.619572515,5.345e-06,0.00154912,-1,0,-1,0,-512,-1,0,-1,0,0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.511309524,0.576785068,0.333333333,1,0.580216017,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0,0.090909091,0.6393633,0.004729353,0.27129343,0.001785714,0.008035714,1.742100956,0.504464286,0.01875,0.061167774,0.017857143,0.021428571,0.014072066,0.046666511,0.013392857,0.016071429,1.058035797,0.119550945,0.042808721,0.105263158,0.125,0.750891527
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.502380952,0.577324333,0.333333333,1,0.566224853,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.059285236,0.008928571,0.010714286,0.87285658,0.032954545,0.04370201,0,0.090909091,0.654843055,0.004762835,0.270692739,0.001785714,0.008928571,1.772900173,0.508035714,0.01875,0.059285236,0.017857143,0.021428571,0.014065689,0.047304468,0.013392857,0.016071429,1.065249586,0.119607728,0.043323711,0.105263158,0.125,0.75800848
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.514880952,0.576384929,0.333333333,1,0.585554139,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.058805186,0.008928571,0.010714286,0.868934372,0.033522727,0.043860545,0,0.090909091,0.658287057,0.004662388,0.296914502,0.000892857,0.008035714,1.845943735,0.497321429,0.01875,0.058805186,0.017857143,0.021428571,0.014064094,0.047877305,0.013392857,0.016071429,1.072769948,0.119625964,0.043822005,0.105263158,0.125,0.760437579
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.49047619,0.576914739,0.333333333,1,0.546089317,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0,0.090909091,0.630581028,0.0046875,0.301169301,0.000892857,0.008035714,1.859517213,0.5,0.01875,0.062087642,0.017857143,0.021428571,0.014075255,0.047111898,0.013392857,0.016071429,1.066454848,0.119530021,0.043257421,0.105263158,0.125,0.746100818
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.500595238,0.577348637,0.333333333,1,0.563313924,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.06023386,0.008928571,0.010714286,0.879904293,0.031818182,0.043360873,0,0.090909091,0.647446639,0.004503348,0.285035826,0.000892857,0.008035714,1.773645064,0.480357143,0.01875,0.06023386,0.017857143,0.021428571,0.014068878,0.047139793,0.013392857,0.016071429,1.064584538,0.119580968,0.043233434,0.105263158,0.125,0.750854886
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.507738095,0.577082007,0.333333333,1,0.574731235,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0,0.090909091,0.62592365,0.004637277,0.274829662,0.000892857,0.008035714,1.763489352,0.494642857,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.047521805,0.013392857,0.016071429,1.071860237,0.119520807,0.043545811,0.105263158,0.125,0.758701575
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,1,320,1120,320,1120,0,0,0.285714286,0.486904762,0.57651443,0.333333333,1,0.539707521,0.009375,0,0.009375,0.009375,0,0,0,1,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0,0.090909091,0.62592365,0.004662388,0.273194131,0.000892857,0.008035714,1.764271536,0.497321429,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.048642385,0.013392857,0.016071429,1.086327148,0.119531288,0.044459608,0.105263158,0.125,0.77374382
