@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
3585,1,linear_ann,0.6569343065693432,ok
3585,1,nonlinear_svm,0.6715328467153284,ok
3585,1,nonlinear_ann,0.6423357664233577,ok
3585,1,nonlinear_dt,0.6715328467153284,ok
3585,1,linear_dt,0.6423357664233577,ok
3585,1,linear_svm,0.7299270072992701,ok
3,1,linear_ann,0.9749687108886107,ok
3,1,nonlinear_svm,0.9943679599499374,ok
3,1,nonlinear_ann,0,other
3,1,nonlinear_dt,0.9937421777221528,ok
3,1,linear_dt,0.6611389236545682,ok
3,1,linear_svm,0.9665206508135169,ok
3587,1,linear_ann,0.855,ok
3587,1,nonlinear_svm,0.875,ok
3587,1,nonlinear_ann,0.89,ok
3587,1,nonlinear_dt,0.825,ok
3587,1,linear_dt,0.83,ok
3587,1,linear_svm,0.865,ok
6,1,linear_ann,0.7165,ok
6,1,nonlinear_svm,0.9782,ok
6,1,nonlinear_ann,0.9672,ok
6,1,nonlinear_dt,0.8073,ok
6,1,linear_dt,0.0747,ok
6,1,linear_svm,0.7017,ok
11,1,linear_ann,0.8864,ok
11,1,nonlinear_svm,1.0,ok
11,1,nonlinear_ann,0.976,ok
11,1,nonlinear_dt,0.7712,ok
11,1,linear_dt,0.6096,ok
11,1,linear_svm,0.8495999999999999,ok
12,1,linear_ann,0.9634999999999999,ok
12,1,nonlinear_svm,0.9795,ok
12,1,nonlinear_ann,0.9795,ok
12,1,nonlinear_dt,0.8759999999999999,ok
12,1,linear_dt,0.19699999999999998,ok
12,1,linear_svm,0.98,ok
3595,1,linear_ann,0.8636363636363636,ok
3595,1,nonlinear_svm,0.9090909090909091,ok
3595,1,nonlinear_ann,0.9090909090909091,ok
3595,1,nonlinear_dt,0.8863636363636364,ok
3595,1,linear_dt,0.7045454545454546,ok
3595,1,linear_svm,0.9318181818181819,ok
14,1,linear_ann,0.8155,ok
14,1,nonlinear_svm,0.8405,ok
14,1,nonlinear_ann,0.835,ok
14,1,nonlinear_dt,0.741,ok
14,1,linear_dt,0.1975,ok
14,1,linear_svm,0.807,ok
15,1,linear_ann,0.9656652360515021,ok
15,1,nonlinear_svm,0.9642346208869814,ok
15,1,nonlinear_ann,0.9628040057224606,ok
15,1,nonlinear_dt,0.9470672389127324,ok
15,1,linear_dt,0.9141630901287553,ok
15,1,linear_svm,0.9542203147353362,ok
16,1,linear_ann,0.941,ok
16,1,nonlinear_svm,0.9790000000000001,ok
16,1,nonlinear_ann,0.9555,ok
16,1,nonlinear_dt,0.8085,ok
16,1,linear_dt,0.1945,ok
16,1,linear_svm,0.955,ok
3597,1,linear_ann,0.6354166666666666,ok
3597,1,nonlinear_svm,0.6770833333333333,ok
3597,1,nonlinear_ann,0.7291666666666667,ok
3597,1,nonlinear_dt,0.65625,ok
3597,1,linear_dt,0.7291666666666667,ok
3597,1,linear_svm,0.7083333333333333,ok
18,1,linear_ann,0.7295,ok
18,1,nonlinear_svm,0.7575,ok
18,1,nonlinear_ann,0,other
18,1,nonlinear_dt,0.71,ok
18,1,linear_dt,0.2,ok
18,1,linear_svm,0.733,ok
3599,1,linear_ann,0.9138755980861244,ok
3599,1,nonlinear_svm,0.9138755980861244,ok
3599,1,nonlinear_ann,0.9377990430622009,ok
3599,1,nonlinear_dt,0.9282296650717703,ok
