@relation Feature_Runstatus_BBOB_2013_Master_Thesis

@attribute instance_id string
@attribute repetition numeric
@attribute initial_design {ok,timeout,memout,presolved,crash,other,unknown}
@attribute meta {ok,timeout,memout,presolved,crash,other,unknown}
@attribute convexity {ok,timeout,memout,presolved,crash,other,unknown}
@attribute y_distr {ok,timeout,memout,presolved,crash,other,unknown}
@attribute levelset {ok,timeout,memout,presolved,crash,other,unknown}
@attribute local_search {ok,timeout,memout,presolved,crash,other,unknown}
@attribute curvature {ok,timeout,memout,presolved,crash,other,unknown}

@data
BBOB_dim02_fid01_iid01,1,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,2,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,3,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,4,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,5,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,6,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,7,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,8,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,9,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid01_iid01,10,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,1,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,2,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,3,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,4,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,5,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,6,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,7,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,8,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,9,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid02_iid01,10,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,1,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,2,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,3,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,4,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,5,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,6,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,7,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,8,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,9,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid03_iid01,10,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,1,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,2,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,3,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,4,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,5,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,6,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,7,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,8,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,9,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid04_iid01,10,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid05_iid01,1,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,2,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,3,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,4,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,5,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,6,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,7,ok,ok,ok,ok,other,ok,other
BBOB_dim02_fid05_iid01,8,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,9,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid05_iid01,10,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid06_iid01,1,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,2,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,3,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,4,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,5,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,6,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,7,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,8,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,9,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid06_iid01,10,ok,ok,ok,ok,ok,ok,ok
BBOB_dim02_fid07_iid01,1,ok,ok,ok,ok,ok,ok,other
BBOB_dim02_fid07_iid01,2,ok,ok,ok,ok,ok,ok,other
